2025-09-13 15:56:53,777 - root - INFO - Logging initialized
2025-09-13 15:56:53,778 - root - INFO - Starting Course Scheduler application
2025-09-13 15:56:55,928 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 15:56:55,928 - root - INFO - Main window initialized successfully
2025-09-13 15:57:03,228 - course_scheduler.app.gui.file_settings - INFO - Selected file: C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 15:57:07,417 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course BIOL1101.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,418 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course CHEM1101.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,419 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1007.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,420 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1111.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,420 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1111.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,421 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1111-L.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,422 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1111-L.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,422 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP1111-L.3: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,423 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2103.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,424 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2103-L.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,424 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2103-L.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,425 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,426 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,426 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112-L.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,427 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112-L.2: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,427 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112-L.3: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,428 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP2112-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,428 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP3112.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,429 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP3112-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,430 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP3401.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
2025-09-13 15:57:07,431 - course_scheduler.app.data.excel_loader - WARNING - Error extracting schedule for course COMP3401-PS.1: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
