2025-09-13 17:08:00,915 - root - INFO - Logging initialized
2025-09-13 17:08:00,916 - root - INFO - Starting Course Scheduler application
2025-09-13 17:08:01,984 - course_scheduler.app.gui.main_window - INFO - UI setup completed
2025-09-13 17:08:01,985 - course_scheduler.app.gui.main_window - INFO - Main window initialized
2025-09-13 17:08:01,985 - root - INFO - Main window initialized successfully
2025-09-13 17:08:51,695 - course_scheduler.app.gui.file_settings - INFO - Selected Excel file: C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:08:57,484 - course_scheduler.app.gui.course_preview - INFO - Course preview updated with 66 courses
2025-09-13 17:08:57,486 - course_scheduler.app.gui.main_window - INFO - Loaded 66 courses from C:/Users/PC/Downloads/lisans-haftalik-ders-programi(1).xlsx
2025-09-13 17:09:11,789 - course_scheduler.app.gui.course_selection - INFO - Course selection window initialized
2025-09-13 17:09:16,253 - course_scheduler.app.gui.course_selection - INFO - Course selection: 3 courses selected
2025-09-13 17:09:16,341 - course_scheduler.app.scheduler.dfs - INFO - Starting DFS scheduling with 36 course groups
2025-09-13 17:09:16,341 - course_scheduler.app.scheduler.dfs - INFO - Mandatory courses: 3, Max results: 5
2025-09-13 17:09:16,342 - course_scheduler.app.scheduler.dfs - INFO - Search order: 3 mandatory + 33 optional
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,342 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:09:16,343 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:09:16,343 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
